"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"205","C11F2HR","C11F2","Heat_rest","25/10/2020",78345662,76310470,1.1
"206","C11F2CD","C11F2","Cold","04/11/2020",70657586,69442280,2.98
"207","C11F2CR","C11F2","Cold_rest","10/11/2020",67128670,65640304,1.92
"208","C11F2DT","C11F2","Diet","17/11/2020",69519380,68046130,4.53
"209","C11F2DR","C11F2","Diet Rest","23/11/2020",79983040,78792722,2.24
"210","C11F3OP","C11F3","Optimal","02/10/2020",23743254,23515520,11.45
"211","C11F3HT","C11F3","Heat","19/10/2020",22850378,22582080,1.1
"212","C11F3HR","C11F3","Heat_rest","25/10/2020",23065726,22818042,1.4
"213","C11F3CD","C11F3","Cold","04/11/2020",18696698,18521860,0.48
"214","C11F3CR","C11F3","Cold_rest","10/11/2020",23092226,22858504,0.47
"215","C11F3DT","C11F3","Diet","17/11/2020",26943782,26677542,3.07
"216","C11F3DR","C11F3","Diet Rest","23/11/2020",15752516,15585754,2.03
"217","C11F4OP","C11F4","Optimal","02/10/2020",59002754,55221934,9.19
"218","C11F4HT","C11F4","Heat","19/10/2020",58579682,57763714,3.65
"219","C11F4HR","C11F4","Heat_rest","25/10/2020",101808802,99508350,4.62
"220","C11F4CD","C11F4","Cold","04/11/2020",51378800,50388758,3.5
"221","C11F4CR","C11F4","Cold_rest","10/11/2020",82802758,81188666,2.66
"222","C11F4DT","C11F4","Diet","17/11/2020",69041402,67350514,4.76
"223","C11F4DR","C11F4","Diet Rest","23/11/2020",93000700,91229820,1.93
"224","C11F5OP","C11F5","Optimal","02/10/2020",53068292,52260614,16.69
"225","C11F5HT","C11F5","Heat","19/10/2020",28021238,27561920,2.63
"226","C11F5HR","C11F5","Heat_rest","25/10/2020",38408196,37977954,0.9
"227","C11F5CD","C11F5","Cold","04/11/2020",47018622,46340410,4.27
"228","C11F5CR","C11F5","Cold_rest","10/11/2020",42797454,42356092,4.64
"229","C11F5DT","C11F5","Diet","17/11/2020",51290928,50599300,2.61
"230","C11F5DR","C11F5","Diet Rest","23/11/2020",26629452,26361074,0.67
"231","C12F1OP","C12F1","Optimal","02/10/2020",19728126,19346442,8.11
"232","C12F1HT","C12F1","Heat","19/10/2020",27557576,26910890,3.34
"233","C12F1HR","C12F1","Heat_rest","25/10/2020",20554280,20078342,3.52
"234","C12F1CD","C12F1","Cold","04/11/2020",40734428,39731650,3.78
"235","C12F1CR","C12F1","Cold_rest","10/11/2020",28970544,28348942,3.61
"236","C12F1DT","C12F1","Diet","17/11/2020",33158212,32490654,9.01
"237","C12F1DR","C12F1","Diet Rest","23/11/2020",19279810,18839882,1.65
"238","C12F2OP","C12F2","Optimal","02/10/2020",16772804,16288476,1.66
"239","C12F2HT","C12F2","Heat","19/10/2020",25063954,24464070,0.95
"240","C12F2HR","C12F2","Heat_rest","25/10/2020",40090424,38922132,1.84
"241","C12F2CD","C12F2","Cold","04/11/2020",29976564,29111256,6.99
"242","C12F2CR","C12F2","Cold_rest","10/11/2020",26162312,25469488,1.27
"243","C12F2DT","C12F2","Diet","17/11/2020",45055546,44037684,5.01
"244","C12F2DR","C12F2","Diet Rest","23/11/2020",27095156,26329084,0.53
"245","C12F3OP","C12F3","Optimal","02/10/2020",20859154,20446154,2.79
"246","C12F3HT","C12F3","Heat","19/10/2020",32090458,31187608,3.15
"247","C12F3HR","C12F3","Heat_rest","25/10/2020",27253612,26300008,2.98
"248","C12F3CD","C12F3","Cold","04/11/2020",27453528,26817144,3.29
"249","C12F3CR","C12F3","Cold_rest","10/11/2020",34926906,34071508,1.69
"250","C12F3DT","C12F3","Diet","17/11/2020",32702868,31588856,5.49
"251","C12F3DR","C12F3","Diet Rest","23/11/2020",27128040,26508108,2.02
"252","C12F4OP","C12F4","Optimal","02/10/2020",26276726,25712188,1.26
"253","C12F4HT","C12F4","Heat","19/10/2020",33637932,32831332,1.87
"254","C12F4HR","C12F4","Heat_rest","25/10/2020",19262256,18587486,5.72
"255","C12F4CD","C12F4","Cold","04/11/2020",33620280,32914022,2.36
"256","C12F4CR","C12F4","Cold_rest","10/11/2020",26395910,25847004,2.76
"257","C12F4DT","C12F4","Diet","17/11/2020",29734070,28955816,5.05
"258","C12F4DR","C12F4","Diet Rest","23/11/2020",29716854,28940388,1.45
"259","C12F5OP","C12F5","Optimal","15/09/2020",20632046,20052788,4.47
"260","C12F5HT","C12F5","Heat","19/10/2020",22154986,21452848,5.7
"261","C12F5HR","C12F5","Heat_rest","25/10/2020",23746582,23003018,2.65
"262","C12F5CD","C12F5","Cold","04/11/2020",20327660,19675670,7.07
"263","C12F5CR","C12F5","Cold_rest","10/11/2020",27288442,26665992,0.56
"264","C12F5DT","C12F5","Diet","17/11/2020",53151372,51542846,3.26
"265","C12F5DR","C12F5","Diet Rest","23/11/2020",21844626,21314274,0.94
"266","C13F1OP","C13F1","Optimal","02/10/2020",26000828,25702480,4.3
